0,1,2,3,4,5,6,7,8,9,10,11
46708.0,-0.98,-0.24,0.144,0.854,-0.305,0.061,25.0,-55.0,20.0,1743902276.2204769,0.0
46708.0,-0.98,-0.234,0.146,0.916,-0.397,0.122,25.0,-55.0,19.0,1743902276.220477,0.0
46724.0,-0.972,-0.237,0.143,0.946,-0.488,0.061,24.0,-54.0,20.0,1743902276.3219929,0.0
46724.0,-0.971,-0.235,0.144,0.885,-0.397,0.061,25.0,-55.0,20.0,1743902276.321993,0.0
46724.0,-0.97,-0.237,0.142,0.916,-0.427,0.122,25.0,-56.0,21.0,1743902276.3219936,0.0
46741.0,-0.965,-0.235,0.14,1.007,-0.519,0.061,25.0,-56.0,20.0,1743902276.425748,0.0
46741.0,-0.968,-0.237,0.145,0.885,-0.275,0.061,24.0,-55.0,19.0,1743902276.425748,0.0
46741.0,-0.963,-0.241,0.145,0.916,-0.366,0.031,26.0,-55.0,21.0,1743902276.4257483,0.0
46758.0,-0.968,-0.237,0.14,0.946,-0.519,0.031,25.0,-55.0,21.0,1743902276.5284493,0.0
46758.0,-0.972,-0.236,0.143,0.885,-0.366,0.061,25.0,-55.0,20.0,1743902276.5284495,0.0
46773.0,-0.97,-0.239,0.153,0.885,-0.336,0.061,24.0,-54.0,20.0,1743902276.6257792,0.0
46773.0,-0.979,-0.239,0.147,0.916,-0.549,0.092,25.0,-55.0,21.0,1743902276.6257796,0.0
46773.0,-0.976,-0.236,0.15,0.885,-0.458,0.061,24.0,-55.0,20.0,1743902276.6257799,0.0
46789.0,-0.979,-0.237,0.155,0.916,-0.336,0.031,25.0,-56.0,21.0,1743902276.7316487,0.0
46789.0,-0.98,-0.238,0.15,0.916,-0.427,0.122,24.0,-55.0,20.0,1743902276.7316492,0.0
46806.0,-0.981,-0.24,0.151,0.885,-0.458,0.122,25.0,-56.0,20.0,1743902276.8330693,0.0
46806.0,-0.981,-0.242,0.154,0.946,-0.488,0.061,25.0,-55.0,21.0,1743902276.8330696,0.0
46806.0,-0.982,-0.238,0.147,0.916,-0.366,0.092,25.0,-54.0,19.0,1743902276.83307,0.0
46823.0,-0.976,-0.237,0.152,0.916,-0.427,0.122,25.0,-55.0,20.0,1743902276.9333355,0.0
46823.0,-0.979,-0.238,0.148,0.916,-0.397,0.061,25.0,-55.0,21.0,1743902276.933336,0.0
46838.0,-0.977,-0.236,0.144,0.946,-0.427,0.031,26.0,-55.0,20.0,1743902277.0334444,0.0
46838.0,-0.972,-0.238,0.148,0.977,-0.549,0.122,25.0,-56.0,19.0,1743902277.033445,0.0
46838.0,-0.973,-0.235,0.143,0.916,-0.397,0.092,25.0,-56.0,20.0,1743902277.0334451,0.0
46854.0,-0.969,-0.233,0.139,0.916,-0.305,0.061,25.0,-56.0,19.0,1743902277.1337357,0.0
46854.0,-0.967,-0.232,0.143,0.916,-0.488,0.031,25.0,-55.0,19.0,1743902277.133736,0.0
46872.0,-0.973,-0.239,0.144,0.916,-0.366,0.031,24.0,-56.0,20.0,1743902277.240759,0.0
46872.0,-0.977,-0.243,0.147,0.885,-0.366,0.061,24.0,-56.0,19.0,1743902277.2407591,0.0
46872.0,-0.976,-0.237,0.142,0.885,-0.458,0.092,24.0,-55.0,20.0,1743902277.2407596,0.0
46888.0,-0.978,-0.234,0.151,0.946,-0.641,0.122,25.0,-55.0,20.0,1743902277.3411095,0.0
46888.0,-0.976,-0.248,0.152,0.977,-0.458,0.092,25.0,-56.0,20.0,1743902277.34111,0.0
46888.0,-0.977,-0.234,0.153,0.946,-0.641,0.183,25.0,-56.0,19.0,1743902277.3411105,0.0
46903.0,-0.985,-0.242,0.15,0.977,-0.58,0.122,25.0,-55.0,21.0,1743902277.4422605,0.0
46903.0,-0.978,-0.242,0.15,0.702,0.214,0.061,24.0,-56.0,21.0,1743902277.4422607,0.0
46920.0,-0.98,-0.235,0.155,0.946,-0.671,0.122,24.0,-55.0,19.0,1743902277.546064,0.0
46920.0,-0.978,-0.237,0.144,1.068,-0.732,0.031,25.0,-55.0,20.0,1743902277.546064,0.0
46920.0,-0.975,-0.232,0.149,0.763,-0.031,0.092,25.0,-55.0,20.0,1743902277.5460644,0.0
46937.0,-0.973,-0.238,0.148,1.007,-0.702,0.031,26.0,-55.0,20.0,1743902277.6415353,0.0
